acc_num	variable	density	area
02S-23322	dens_cd8tcell_foxp3pos_tumour	0	0.2709758179110579
02S-23322	dens_tcyto_stroma	215.96697593129855	0.2855374827597878
02S-23322	dens_tcyto_tumour	43.054272357602045	0.2709758179110579
02S-23322	dens_thelper_stroma	528.8272437669094	0.2855374827597878
02S-23322	dens_thelper_tumour	44.28439442496211	0.2709758179110579
02S-23322	dens_treg_stroma	45.52817330443591	0.2855374827597878
02S-23322	dens_treg_tumour	3.6903662020801757	0.2709758179110579
02S-2772	dens_bcell_cd20neg_stroma	0	0.05994297328279699
02S-2772	dens_bcell_cd20neg_tumour	2.2235163087180445	0.4497380999991604
02S-2772	dens_bcell_cd20pos_stroma	0	0.05994297328279699
02S-2772	dens_bcell_cd20pos_tumour	0	0.4497380999991604
02S-2772	dens_cd8tcell_foxp3pos_stroma	0	0.05994297328279699
